[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,资产,Assets,Asset,,,Yes,,,,,,,,,,,,
100,流动资产,Current Assets,Asset,,,Yes,,1,,,,,,,,,,
1001,现金,Cash on Hand,Asset,,,Yes,,100,,,,,,,,,,
100101,零用现金,Cash Book Asset,Asset,,Yes,No,CB_ASSET_ACCT,1001,,,,,,,,,,
100102,在途零用现金,Cash Book Transfer,Asset,,Yes,No,CB_CASHTRANSFER_ACCT,1001,,,,,,,,,,
1002,银行存款,Cash in Bank,Asset,,,Yes,,100,,,,,,,,,,
100201,支票账户,Cash in Bank,Asset,,Yes,No,B_ASSET_ACCT,1002,,,,,,,,,,
100202,在途支票,Bank transactions in transit,Asset,,Yes,No,B_INTRANSIT_ACCT,1002,,,,,,,,,,
100203,未确认收款的支票,Receipts from unidentified customer,Asset,,Yes,No,B_UNIDENTIFIED_ACCT,1002,,,,,,,,,,
100204,未分配收款的支票,"Received, unallocated payments",Asset,,Yes,No,B_UNALLOCATEDCASH_ACCT,1002,,,,,,,,,,
1009,其他货币资金,Other currencies,Asset,,,Yes,,100,,,,,,,,,,
100901,外埠存款,Deposit in other cities,Asset,,,No,,1009,,,,,,,,,,
100902,银行本票,Cashier's cheque,Asset,,,No,,1009,,,,,,,,,,
100903,银行汇票,Bank draft,Asset,,,No,,1009,,,,,,,,,,
100904,信用卡,Credit card,Asset,,,No,,1009,,,,,,,,,,
100905,信用证保证金,Deposit to creditor,Asset,,,No,,1009
100906,存出投资款,Cash in investing account ,Asset,,,No,,1009
1101,短期投资,Short-term investments,Asset,,,Yes,,100
110101,股票,Short-term stock investments,Asset,,,No,,1101
110102,债券,Short-term bond investments,Asset,,,No,,1101
110103,基金,Short-term fund investments,Asset,,,No,,1101
110110,其他,Other short-term investments,Asset,,,No,,1101
1102,短期投资跌价准备,Provision for loss on decline in value of short-term investments,Asset,,,Yes,,100
1111,应收票据,Notes receivable,Asset,,,No,,100
1121,应收股利,Dividends receivable,Asset,,,No,,100
1122,应收利息,Interest receivable,Asset,,,No,,100
1131,应收账款,Accounts receivable,Asset,,,Yes,,100
113101,应收账户 - 贸易,Accounts receivable - trade,Asset,,Yes,No,C_RECEIVABLE_ACCT,1131
113102,应收账户 - 2003,ARs 2003,Asset,,,No,,1131
113103,应收账户 - 2004,ARs 2004,Asset,,,No,,1131
113104,应收账户 - 服务,A/R Services - Trade,Asset,,Yes,No,,1131
113105,未开票应收,A/R Not Yet Invoiced,Asset,,Yes,No,NOTINVOICEDRECEIVABLES_ACCT,1131
1133,其他应收款,Provision for Bad Debts,Asset,,,Yes,,100
113301,其他应收款-厂商,OR-Supplier,Asset,,,No,,1133
113302,其他应收款-客户,OR-Client,Asset,,,No,,1133
113303,其他应收款-政府,OR-Government,Asset,,,No,,1133
113304,其他应收款-其他方,OtherReceivable-intercompany,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,1133
113305,其他应收款-个人,OtherReceivable-Personnel,Asset,,,No,,1133
113306,其他应收款-第三方,OR-Third,Asset,,,No,,1133
1135,税应收,Tax Receivables,Asset,,Yes,No,T_RECEIVABLES_ACCT,100
1141,坏账准备,Provision for Bad Debts,Asset,,,No,,100
1151,预付账款,Advance Payment,Asset,,,No,,100
1161,应收补贴款,ReceivableSubsidy,Asset,,,Yes,,100
116101,应收补贴款-出口退税,ReceivableSubsidy-ExpTaxRefund,Asset,,,No,,1161
1201,物资采购 ,Purchase,Asset,,Yes,No,P_ASSET_ACCT,100
1211,原材料,Raw Materials,Asset,,,No,,100
1221,包装物,Containers,Asset,,,No,,100
1231,低值易耗品,Low-valued Consumables,Asset,,,No,,100
1232,材料成本差异,Cost variances of material,Asset,,,No,,100
1241,自制半成品,Self-manufactured semi-finished product,Asset,,,No,,100
1243,制成品(库存),Finished Products,Asset,,,No,,100
1244,商品进销差价,Margin between selling and purchasing price on merchandise,Asset,,,No,,100
1245,在制品,Semi-finished product,Asset,,,No,,100
1246,在途材料,Materials In Transit,Asset,,,No,,100
1249,发出产品,Finised Goods In-Transit,Asset,,,No,,100
1251,委托加工物资,Materials on consignment for further processing,Asset,,,No,,100
1261,委托代销商品,Goods on consignment-out,Asset,,,No,,100
1271,受托代销商品,Goods on consignment-in,Asset,,,No,,100
1281,存货跌价准备,Provision for inventory write-down,Asset,,Yes,No,W_INVENTORY_ACCT,100
1291,分期收款发出商品,Goods on instalment sales,Asset,,,No,,100
1295,项目资产,Created Asset,Asset,,Yes,No,PJ_ASSET_ACCT,100
1296,项目在制品,Contract Work-in-progress,Asset,,Yes,No,PJ_WIP_ACCT,100
1301,待摊费用,Prepaid Expense,Asset,,Yes,No,V_PREPAYMENT_ACCT,100
1302,职员待摊费用,Employee Expense Prepayment,Asset,,Yes,No,E_PREPAYMENT_ACCT,100
140,长期资产,Non-current Assets,Asset,,,Yes,,1
1401,长期股权投资,Long-term equity investments,Asset,,,Yes,,140
140101,股票投资,Long-term stock investments,Asset,,,No,,1401
140102,其他股权投资,Other long-term equity investments,Asset,,,No,,1401
1402,长期债权投资,Long-term debt investments,Asset,,,Yes,,140
140201,债券投资,Long-term bond investments,Asset,,,No,,1402
140202,其他债权投资,Other long-term debt investments,Asset,,,No,,1402
1421,长期投资减值准备,Provison for impairment of long-term investments ,Asset,,,No,,140
1431,委托贷款,Entrusted loan,Asset,,,Yes,,140
143101,本金,Principal of entrusted loan,Asset,,,No,,1431
143102,利息,Interest of entrusted loan,Asset,,,No,,1431
143103,减值准备,Provision for impairment of entrusted loan ,Asset,,,No,,1431
1501,固定资产,Fixed assets-cost ,Asset,,,No,,140
1502,累计折旧,Accumulated Depreciation,Asset,,,No,,140
1505,固定资产减值准备,Provision for impairment of fixed assets,Asset,,,No,,140
1601,工程物资,Construction material,Asset,,,Yes,,140
160101,专用材料,Specific purpose materials,Asset,,,No,,1601
160102,专用设备,Specific purpose equipments,Asset,,,No,,1601
160103,预付大型设备款,Prepayments for major equipments,Asset,,,No,,1601
160104,为生产准备的工具及器具,Tools and instruments prepared for production,Asset,,,No,,1601
1603,在建工程,Construction in Progress,Asset,,,No,,140
1605,在建工程减值准备,Provision for impairment of construction in process,Asset,,,No,,140
1701,固定资产清理,Disposal of Fixed Assets,Asset,,,No,,140
1801,无形资产,Intangible Assets,Asset,,,No,,140
1805,无形资产减值准备,Provision for imparirment of Intangible assets,Asset,,,No,,140
1815,未确认融资费用,Unrecognized finacing charges,Asset,,,No,,140
1901,长期待摊费用,Long-term Prepaid Expense,Asset,,,No,,140
1911,待处理财产损溢,Gain & loss of assets pending disposal,Asset,,,Yes,,140
191101,待处理流动资产损溢,Gain & loss of current-assets pending disposal,Asset,,,No,,1911
191102,待处理固定资产损溢,Gain & loss of  fixed assets pending disposal,Asset,,,No,,1911
2,负债,Liability,Liability,,,Yes,,
200,流动负债,Current Liability,Liability,,,Yes,,2
2111,应付票据,Notes Payable,Liability,,,No,,200
2121,应付账款,Accouts Payable,Liability,,,Yes,,200
212101,应付账款-发票已到,Payables-Invoiced,Liability,,Yes,No,V_LIABILITY_ACCT,2121
212102,应付账款-发票未到,Payables-Noinvoice,Liability,,Yes,No,NOTINVOICEDRECEIPTS_ACCT,2121
212103,应付账款-服务,Accounts Payable Services,Liability,,Yes,No,V_LIABILITY_SERVICES_ACCT,2121
212104,付款选择,Payment Selection,Liability,,Yes,No,B_PAYMENTSELECT_ACCT,2121
2131,预收账款,Advance from customers ,Liability,,,No,,200
213101,预收账款,Advance from Client,Liability,,Yes,No,C_PREPAYMENT_ACCT,2131
213102,递延预收,Delivery Advance from Client,Liability,,,No,,2131
2141,代销商品款,Accounts of consigned goods,Liability,,,No,,200
2151,应付工资,Accrued Payroll,Liability,,,No,,200
2153,应付福利费,Accrued Welfare,Liability,,,No,,200
2161,应付股利,Dividends payable,Liability,,,No,,200
2171,应交税金,Taxes Payable,Liability,,,Yes,,200
217101,应交税金-增值税,VAT payable,Liability,,,Yes,,2171
21710101,应交税金-增值税-进项税额,VAT payable-Input,Liability,,Yes,No,T_CREDIT_ACCT,217101
21710102,应交税金-增值税-已交税金,VAT payable-Paid tax,Liability,,,No,,217101
21710103,应交税金-增值税-转出未交税金,VAT payable-Transfer notpaid tax,Liability,,,No,,217101
21710105,应交税金-增值税-销项税额,VAT payable-Output,Liability,,Yes,No,T_DUE_ACCT,217101
21710106,应交税金-增值税-出口退税,VAT payable-Export Refund,Liability,,,No,,217101
21710107,应交税金-增值税-进项转出,VAT payable-Transfer input,Liability,,,No,,217101
21710109,应交税金-增值税-转出多交税金,VAT payable-Transfer overpaid tax,Liability,,,No,,217101
21710110,应交税金-增值税-未交税金,VAT payable-NotPaid tax,Liability,,,No,,217101
217102,应交税金-营业税,Business tax payable,Liability,,,Yes,,2171
217105,应交税金-所得税,Income tax payable,Liability,,Yes,No,T_LIABILITY_ACCT,2171
217107,应交税金-城建税,Urban construction and maintenance tax payable,Liability,,,No,,2171
217108,应交税金-河防附加,Flood prevention surcharge,Liability,,,No,,2171
217111,应交税金-个人所得税,Individual income tax payable,Liability,,,No,,2171
217115,预扣(税),Withholding (Tax),Liability,,Yes,No,WITHHOLDING_ACCT,2171
217161,递延税项,Deferred Tax,Liability,,,No,,2171
2176,其他应付款,Other Payables,Liability,,,Yes,,200
217601,其他应付款-厂商,Other Payable-Supplier,Liability,,,No,,2176
217602,其他应付款-其他方,Other payable-Intercompany,Liability,,Yes,No,INTERCOMPANYDUETO_ACCT,2176
217603,其他应付款-其他,Other-others,Liability,,,No,,2176
2181,其他应交款,Other amounts payables,Liability,,,No,,200
2191,预提费用,Accrued Expense,Liability,,,No,,200
2201,待转资产价值,Pending transfer value of assets ,Liability,,,No,,200
